年/月/日,時:分:秒,m7033 Input Register 0(Temp 1),m7033 Input Register 1,m7033 Input Register 2,power_meter Holding Register 31(kW),power_meter Holding Register 42(Voltage),power_meter Holding Register 43(Ampere),pm-3133 Input Register 4352,pm-3133 Input Register 4353,pm-3133 Input Register 4354,pm-3133 Input Register 4355,pm-3133 Input Register 4356,pm-3133 Input Register 4357,pm-3133 Input Register 4358,pm-3133 Input Register 4359,pm-3133 Input Register 4360,pm-3133 Input Register 4361,pm-3133 Input Register 4362,pm-3133 Input Register 4363,pm-3133 Input Register 4364,pm-3133 Input Register 4365,pm-3133 Input Register 4366,pm-3133 Input Register 4367,pm-3133 Input Register 4368,pm-3133 Input Register 4369,pm-3133 Input Register 4370,pm-3133 Input Register 4371,pm-3133 Input Register 4372,pm-3133 Input Register 4373,pm-3133 Input Register 4374,pm-3133 Input Register 4375,pm-3133 Input Register 4376,pm-3133 Input Register 4377,pm-3133 Input Register 4378,JDAPW Holding Register 7(w/m2),,模式
2018/06/14,23:00:00,8869,-32768,-32768,0,199.300,0,-24696,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-16207,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:05:00,8879,-32768,-32768,0,199.300,0,-14562,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-5766,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:10:00,8894,-32768,-32768,0,199.300,0,30682,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-26352,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:15:00,8902,-32768,-32768,0,199.300,0,6411,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,15074,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:20:00,8907,-32768,-32768,0,199.300,0,-13686,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-4615,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:25:00,8889,-32768,-32768,0,199.300,0,6654,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,15960,17244,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:30:00,8873,-32768,-32768,0,199.300,0,593,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,9849,17244,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:35:00,8861,-32768,-32768,0,199.300,0,12100,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,21406,17244,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:40:00,8839,-32768,-32768,0,199.300,0,15889,17114,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,26614,17244,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:45:00,8832,-32768,-32768,0,199.300,0,26088,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-30042,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:50:00,8831,-32768,-32768,0,199.300,0,-28011,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,-18307,17243,0,0,0,0,0,0,0,0,,Period
2018/06/14,23:55:00,8815,-32768,-32768,0,199.300,0,-876,17113,0,0,0,0,0,0,0,0,0,0,-11331,17296,-29933,17034,4515,17303,8757,17244,0,0,0,0,0,0,0,0,,Period
